
0, "Hawaii", 135, "Base + pineapple + chicken + cheese"
1, "BBQ", 140, "Base + cheese + bacon + chicken + mushrooms"
2, "Pepperoni", 150, "Base + mozzarella + pepperoni"
3, "Margarita", 120, "Base + mozzarella + extracheese"
4, "Texas", 155, "Base + onions + mushrooms + 4 types of meat"
5, "Spicy", 130, "Base + pepperoni + bacon + tomatoes + jalapeno"
6, "Munich", 210, "Base + ham + bavarian sausages + tomatoes"
7, "Tuna", 190, "Base + mozzarella + tuna"
8, "Provence", 215, "Base + ham + tomatoes + pepperoni"
9, "Five cheeses", 230, "Base + cheddar + mozzarella + parmesan+ feta + bergader blue"
10, "Vegan", 180, "Base + spinach + feta + tomatoes + olives"
